x,y,cls,conf
25088,7168,0,0.2714448
25600,7168,0,0.19701925
26112,7168,0,0.15817435
26624,7168,0,0.24835183
27136,7168,0,0.19455904
27648,7168,0,0.22588587
28160,7168,0,0.27117932
28672,7168,0,0.23044315
29184,7168,0,0.21601154
29696,7168,0,0.22367369
30208,7168,0,0.14318772
30720,7168,0,0.1606607
31232,7168,0,0.15037161
32256,7168,0,0.22962157
34816,7168,0,0.22380088
36864,7168,0,0.10913479
37376,7168,0,0.11382562
37888,7168,0,0.12694743
38400,7168,0,0.22042635
39424,7168,0,0.24382246
39936,7168,0,0.33999196
40448,7168,1,0.51238763
40960,7168,0,0.31822026
41472,7168,0,0.25321412
41984,7168,0,0.18133569
42496,7168,0,0.14633106
43008,7168,0,0.2362298
43520,7168,0,0.16878843
44032,7168,0,0.22678362
44544,7168,0,0.31795546
45056,7168,0,0.320263
45568,7168,0,0.35482422
46080,7168,0,0.29396155
46592,7168,0,0.19216008
47104,7168,0,0.35273114
47616,7168,0,0.30834642
48128,7168,0,0.26702574
48640,7168,0,0.3027775
49152,7168,0,0.3830137
49664,7168,0,0.38185325
50176,7168,0,0.23235367
50688,7168,0,0.26635727
51200,7168,0,0.26783887
51712,7168,0,0.263552
52224,7168,0,0.16184942
52736,7168,0,0.16954333
53248,7168,0,0.2758119
53760,7168,0,0.16228046
54272,7168,0,0.22554451
54784,7168,0,0.16776335
55296,7168,0,0.2536761
55808,7168,0,0.14229149
56320,7168,0,0.21288587
56832,7168,0,0.17874077
57344,7168,0,0.1777395
57856,7168,0,0.19253936
58368,7168,0,0.24835183
58880,7168,0,0.2351084
59392,7168,0,0.14922117
59904,7168,0,0.1867616
60416,7168,0,0.2026009
60928,7168,0,0.19147882
61440,7168,0,0.21650808
61952,7168,0,0.26029545
62464,7168,0,0.27781576
62976,7168,0,0.23322575
63488,7168,0,0.2972149
64000,7168,0,0.25776508
4608,7680,0,0.121112876
5120,7680,0,0.20275873
5632,7680,0,0.25813892
6144,7680,0,0.2564594
6656,7680,0,0.20661378
7168,7680,0,0.2458311
7680,7680,0,0.18528292
8192,7680,0,0.12527926
8704,7680,1,0.50555587
9216,7680,0,0.23340045
10240,7680,0,0.13805456
10752,7680,0,0.22781274
11264,7680,0,0.21337716
12288,7680,0,0.15810935
12800,7680,0,0.21003625
13312,7680,0,0.24155647
13824,7680,0,0.29946357
14336,7680,0,0.21725446
14848,7680,0,0.23357521
15360,7680,0,0.13234626
15872,7680,0,0.2351084
16384,7680,0,0.21862768
16896,7680,0,0.17731172
17408,7680,0,0.18843594
17920,7680,0,0.23131022
18432,7680,0,0.20914644
19456,7680,0,0.21568096
19968,7680,0,0.12085323
20480,7680,0,0.21465026
20992,7680,0,0.10297931
21504,7680,0,0.16937152
22016,7680,0,0.24712338
22528,7680,0,0.24278864
23040,7680,0,0.11119294
23552,7680,0,0.25622666
24064,7680,0,0.19163007
24576,7680,0,0.22405547
25088,7680,0,0.2004794
25600,7680,0,0.22609939
26112,7680,0,0.30300945
26624,7680,0,0.31328842
27648,7680,0,0.17589168
28160,7680,0,0.27401128
28672,7680,0,0.2358996
29184,7680,0,0.26793462
29696,7680,0,0.20040116
30208,7680,0,0.15889087
30720,7680,0,0.18509872
31232,7680,0,0.274789
31744,7680,0,0.2331821
32256,7680,0,0.3199973
32768,7680,0,0.19837458
33280,7680,0,0.1869842
33792,7680,0,0.31856462
34304,7680,0,0.28962278
34816,7680,0,0.21958844
35328,7680,0,0.19915219
35840,7680,0,0.3060083
36352,7680,0,0.21060391
36864,7680,0,0.1777395
37376,7680,0,0.10636527
37888,7680,0,0.20414351
38400,7680,0,0.15077755
38912,7680,0,0.21419787
39424,7680,0,0.20394525
39936,7680,0,0.28552136
40448,7680,0,0.23633994
40960,7680,0,0.20858167
41472,7680,0,0.20252204
41984,7680,0,0.18061194
42496,7680,0,0.16933718
43008,7680,0,0.23917161
43520,7680,0,0.33220547
44032,7680,0,0.2726051
44544,7680,0,0.23921603
45056,7680,0,0.34004676
45568,7680,0,0.39065015
46080,7680,0,0.21141683
46592,7680,0,0.21555708
47104,7680,0,0.2724115
47616,7680,0,0.3595328
48128,7680,0,0.24499467
48640,7680,0,0.16728666
49152,7680,0,0.2814056
49664,7680,0,0.24725968
50176,7680,0,0.39367637
50688,7680,0,0.3285025
51200,7680,0,0.24635199
51712,7680,0,0.28552136
52224,7680,0,0.16926852
52736,7680,0,0.30850264
53248,7680,0,0.21056333
53760,7680,0,0.14493373
54272,7680,0,0.20275873
54784,7680,0,0.17057708
55296,7680,0,0.17412922
55808,7680,0,0.10105591
56832,7680,0,0.23660444
57344,7680,0,0.22042635
57856,7680,0,0.28701782
58368,7680,0,0.4175832
58880,7680,0,0.37267643
59392,7680,0,0.20785715
59904,7680,0,0.19783162
60416,7680,0,0.20414351
60928,7680,0,0.17924304
61440,7680,0,0.15354918
61952,7680,0,0.18010665
62464,7680,0,0.31557775
62976,7680,0,0.27101046
63488,7680,0,0.25529724
64000,7680,0,0.21386933
4608,8192,0,0.17645863
5120,8192,0,0.20299561
5632,8192,0,0.19253936
6144,8192,0,0.19717379
6656,8192,0,0.30769598
7168,8192,0,0.27352586
7680,8192,0,0.18119076
8192,8192,0,0.35639066
8704,8192,0,0.46487877
9216,8192,0,0.19713515
10752,8192,0,0.26807827
11264,8192,0,0.24454337
11776,8192,0,0.26654816
12288,8192,0,0.11777491
12800,8192,0,0.17738298
13312,8192,0,0.19178137
13824,8192,0,0.28681803
14336,8192,0,0.2666914
14848,8192,0,0.23766439
15360,8192,0,0.1888844
15872,8192,0,0.17624585
16384,8192,0,0.28081354
16896,8192,0,0.17504396
17408,8192,0,0.14657521
17920,8192,0,0.2537223
18432,8192,0,0.25870037
18944,8192,0,0.21621831
19456,8192,0,0.18337418
19968,8192,0,0.24301313
20480,8192,0,0.2782568
22016,8192,0,0.29118237
22528,8192,0,0.40634653
23040,8192,0,0.33522162
23552,8192,0,0.1912144
24064,8192,0,0.2344943
24576,8192,0,0.23039988
25088,8192,0,0.18937114
25600,8192,0,0.22346178
26112,8192,0,0.20071429
27136,8192,0,0.19617093
27648,8192,0,0.14247034
